X,Y,date
724832.2,4418119.6,2015-01-05 21:59:59
724952.8,4417961.8,2015-01-05 22:59:59
725342.4,4417682.8,2015-01-05 23:59:59
725204.4,4417967.8,2015-01-06 00:59:59
724958.2,4418469.4,2015-01-06 01:59:59
725287.8,4418295.8,2015-01-06 02:59:59
725343.5,4418050.9,2015-01-06 03:59:59
725241.3,4417645.3,2015-01-06 04:59:59
725041.5,4417725.4,2015-01-06 05:59:59
724707.8,4417182.6,2015-01-06 06:59:59
724832.9,4416204.5,2015-01-06 07:59:59
725308.1,4416943.8,2015-01-06 08:59:59
725315.5,4416818.5,2015-01-06 09:59:59
725374.2,4416380.3,2015-01-06 10:59:59
725108.1,4415987.2,2015-01-06 11:59:59
725345.7,4417787.7,2015-01-06 12:59:59
725227.7,4417995.7,2015-01-06 13:59:59
725231.1,4418072.8,2015-01-06 14:59:59
725176,4418417.3,2015-01-06 15:59:59
724493.1,4417880.3,2015-01-06 16:59:59
724396.5,4417516.2,2015-01-06 17:59:59
724424.7,4417576.5,2015-01-06 18:59:59
724578.3,4417859.5,2015-01-06 19:59:59
725568.7,4418473.5,2015-01-06 20:59:59
725329.1,4418288.3,2015-01-06 21:59:59
725266.2,4418007,2015-01-06 22:59:59
725205.9,4417913.2,2015-01-06 23:59:59
724823.2,4418640.9,2015-01-07 00:59:59
724808,4417889.2,2015-01-07 01:59:59
724759.1,4417333.6,2015-01-07 02:59:59
725234,4417593.3,2015-01-07 03:59:59
725234.3,4417802,2015-01-07 04:59:59
724612.4,4417678.9,2015-01-07 05:59:59
724991.4,4417325,2015-01-07 06:59:59
725287.6,4417499.3,2015-01-07 07:59:59
725269.3,4417812.8,2015-01-07 08:59:59
725275.1,4418004.5,2015-01-07 09:59:59
725602.5,4418599.3,2015-01-07 10:59:59
725681.3,4418572.6,2015-01-07 11:59:59
725652.3,4417525.3,2015-01-07 12:59:59
725385.6,4417275.2,2015-01-07 13:59:59
725411.3,4417320.2,2015-01-07 14:59:59
725127.9,4416048.8,2015-01-07 15:59:59
725075.9,4416154.4,2015-01-07 16:59:59
725400.9,4417217.5,2015-01-07 17:59:59
725384.5,4417377.2,2015-01-07 18:59:59
725248.2,4417557.4,2015-01-07 19:59:59
724812.3,4416353.1,2015-01-07 20:59:59
725185.3,4415949,2015-01-07 21:59:59
725156,4417117.9,2015-01-07 22:59:59
725205.1,4417141.9,2015-01-07 23:59:59
725446.8,4415885.6,2015-01-08 00:59:59
725567.6,4415902.7,2015-01-08 01:59:59
725356.7,4416283.6,2015-01-08 02:59:59
725133.8,4417276.3,2015-01-08 03:59:59
725147.2,4417328.9,2015-01-08 04:59:59
724725.4,4417840.5,2015-01-08 05:59:59
724489,4417055.8,2015-01-08 06:59:59
724878.1,4417301.7,2015-01-08 07:59:59
725191.9,4418301.1,2015-01-08 08:59:59
725175.9,4418382.3,2015-01-08 09:59:59
725312.6,4418464.8,2015-01-08 10:59:59
725472.7,4418510.5,2015-01-08 11:59:59
725416.3,4418071.8,2015-01-08 12:59:59
725317.2,4418104.8,2015-01-08 13:59:59
725191.5,4418174.2,2015-01-08 14:59:59
725540.8,4418551.4,2015-01-08 15:59:59
725694.8,4418538.7,2015-01-08 16:59:59
725715.4,4417824,2015-01-08 17:59:59
725712.3,4417845.4,2015-01-08 18:59:59
725823.5,4417835.5,2015-01-08 19:59:59
726064.2,4418571.7,2015-01-08 20:59:59
725626.9,4418414.7,2015-01-08 21:59:59
725184,4418289,2015-01-08 22:59:59
724869.4,4418246.2,2015-01-08 23:59:59
724810.8,4418681.3,2015-01-09 00:59:59
725343.3,4418512,2015-01-09 01:59:59
725372.4,4418071.2,2015-01-09 02:59:59
725171.1,4417663.8,2015-01-09 03:59:59
725157.4,4417705.5,2015-01-09 04:59:59
724674.7,4417448.8,2015-01-09 05:59:59
724472.2,4417598.1,2015-01-09 06:59:59
724969.9,4417322.2,2015-01-09 07:59:59
724648.2,4416871.3,2015-01-09 08:59:59
724814.5,4416411.4,2015-01-09 09:59:59
724585.4,4416738.9,2015-01-09 10:59:59
725527.3,4418138.8,2015-01-09 11:59:59
725437,4418110.5,2015-01-09 12:59:59
725289.1,4418137.7,2015-01-09 13:59:59
725290.1,4418357.7,2015-01-09 14:59:59
725538.5,4418543.3,2015-01-09 15:59:59
725007,4417989.5,2015-01-09 16:59:59
725002.6,4417950.3,2015-01-09 17:59:59
724919.5,4418442.7,2015-01-09 18:59:59
724514.3,4417790.4,2015-01-09 19:59:59
724720.4,4417887.8,2015-01-09 20:59:59
725207.2,4418294.5,2015-01-09 21:59:59
725215.3,4418347,2015-01-09 22:59:59
725216.1,4418140.7,2015-01-09 23:59:59
725562.5,4418469.4,2015-01-10 00:59:59
725481.8,4418413.9,2015-01-10 01:59:59
725376.6,4417768.2,2015-01-10 02:59:59
725328.3,4417863.1,2015-01-10 03:59:59
725345.1,4418393.4,2015-01-10 04:59:59
725179.2,4418624.4,2015-01-10 05:59:59
725407.1,4418033.4,2015-01-10 06:59:59
725175.5,4418071.3,2015-01-10 07:59:59
725197.9,4417959.8,2015-01-10 08:59:59
724752.1,4417668.3,2015-01-10 09:59:59
724520.7,4417440.6,2015-01-10 10:59:59
724537.9,4417701.5,2015-01-10 11:59:59
724331.1,4417632.1,2015-01-10 12:59:59
724165.5,4417779.4,2015-01-10 13:59:59
724467.3,4416404.7,2015-01-10 14:59:59
724503.6,4416567.6,2015-01-10 15:59:59
724489.9,4417712.5,2015-01-10 16:59:59
724338.6,4417670.4,2015-01-10 17:59:59
724463.2,4417615.8,2015-01-10 18:59:59
724741.9,4417680.6,2015-01-10 19:59:59
724704.4,4417375.3,2015-01-10 20:59:59
724843.5,4417715.5,2015-01-10 21:59:59
725012.7,4418252.3,2015-01-10 22:59:59
725100.1,4418412.4,2015-01-10 23:59:59
725414.4,4418533.2,2015-01-11 00:59:59
725548.7,4418333.3,2015-01-11 01:59:59
725411.6,4417977.6,2015-01-11 02:59:59
725252.3,4417901.4,2015-01-11 03:59:59
725293.4,4418519.6,2015-01-11 04:59:59
725566.9,4418379.4,2015-01-11 05:59:59
725243.7,4417936,2015-01-11 06:59:59
725109.3,4417633.9,2015-01-11 07:59:59
724787.6,4417845.5,2015-01-11 08:59:59
724735,4417675.1,2015-01-11 09:59:59
724647.8,4417518.8,2015-01-11 10:59:59
724675.2,4417598.3,2015-01-11 11:59:59
724433.3,4417504.2,2015-01-11 12:59:59
724716.9,4416834.4,2015-01-11 13:59:59
724511.1,4416685.2,2015-01-11 14:59:59
725123.6,4417253,2015-01-11 15:59:59
725016,4417254.3,2015-01-11 16:59:59
724537.6,4416997.4,2015-01-11 17:59:59
724621.8,4417211.4,2015-01-11 18:59:59
724606.4,4417398.9,2015-01-11 19:59:59
724917,4417967.1,2015-01-11 20:59:59
725150.7,4417589.3,2015-01-11 21:59:59
724796.5,4416456.9,2015-01-11 22:59:59
724745.3,4416258.6,2015-01-11 23:59:59
724722.8,4417185.1,2015-01-12 00:59:59
725380.1,4417302.2,2015-01-12 01:59:59
725403.3,4417516.2,2015-01-12 02:59:59
725102.4,4416531.9,2015-01-12 03:59:59
724999.4,4416816.6,2015-01-12 04:59:59
725406.6,4418024.6,2015-01-12 05:59:59
724947.5,4418311.3,2015-01-12 06:59:59
724874.3,4418203.6,2015-01-12 07:59:59
725349.9,4417612.1,2015-01-12 08:59:59
725384.1,4418239.2,2015-01-12 09:59:59
725085.4,4418161.8,2015-01-12 10:59:59
725194.7,4418002.1,2015-01-12 11:59:59
725019.3,4417587.9,2015-01-12 12:59:59
725328,4417212,2015-01-12 13:59:59
725413.1,4417756.7,2015-01-12 14:59:59
725204.1,4417974.4,2015-01-12 15:59:59
725346.3,4417549.4,2015-01-12 16:59:59
725158.7,4417090.5,2015-01-12 17:59:59
724640.3,4416072.9,2015-01-12 18:59:59
725315.2,4417692.7,2015-01-12 19:59:59
725805.9,4416925.4,2015-01-12 20:59:59
725649.6,4416856,2015-01-12 21:59:59
725637.8,4416549.9,2015-01-12 22:59:59
725681.1,4416097.1,2015-01-12 23:59:59
725759.2,4415785,2015-01-13 00:59:59
725537.5,4415657.7,2015-01-13 01:59:59
724874.3,4416344,2015-01-13 02:59:59
724881.3,4416364.1,2015-01-13 03:59:59
725093.3,4416442,2015-01-13 04:59:59
725512,4416972.6,2015-01-13 05:59:59
725976.6,4415741,2015-01-13 06:59:59
725894.7,4415552.2,2015-01-13 07:59:59
725839.1,4416160.5,2015-01-13 08:59:59
725697.2,4416069.6,2015-01-13 09:59:59
725739.9,4415820.7,2015-01-13 10:59:59
725784.3,4415743.1,2015-01-13 11:59:58
725916.2,4415823.9,2015-01-13 12:59:58
725855.2,4415796.9,2015-01-13 13:59:58
725566.6,4416228.4,2015-01-13 14:59:58
724922.2,4416398.6,2015-01-13 15:59:58
724855,4416417.7,2015-01-13 16:59:58
725101.1,4416452.8,2015-01-13 17:59:58
725066.3,4416499.9,2015-01-13 18:59:58
725118.4,4416569.6,2015-01-13 19:59:58
725857.7,4415678.5,2015-01-13 20:59:58
725790.1,4415684.1,2015-01-13 21:59:58
725429.4,4415941.5,2015-01-13 22:59:58
725369.5,4415965.9,2015-01-13 23:59:58
725000.2,4416419.4,2015-01-14 00:59:58
724811.2,4416068.5,2015-01-14 01:59:58
724798.3,4416178.3,2015-01-14 02:59:58
724799.4,4416229.1,2015-01-14 03:59:58
724723.1,4416293.1,2015-01-14 04:59:58
725018.5,4416181.6,2015-01-14 05:59:58
724799.2,4416336.3,2015-01-14 06:59:58
724644.3,4416420.6,2015-01-14 07:59:58
725192.9,4416946.9,2015-01-14 08:59:58
725481.8,4419850.1,2015-01-14 09:59:58
725016.1,4423664.3,2015-01-14 10:59:58
725129.2,4423758.8,2015-01-14 11:59:58
725362.3,4422357.6,2015-01-14 12:59:58
725230.1,4420876.5,2015-01-14 13:59:58
725006.4,4416319.6,2015-01-14 14:59:58
725950.1,4415740.6,2015-01-14 15:59:58
726149.4,4416413,2015-01-14 16:59:58
725809.5,4416572,2015-01-14 17:59:58
725438.8,4415879.6,2015-01-14 18:59:58
724973.2,4416111.8,2015-01-14 19:59:58
725062.6,4416565.5,2015-01-14 20:59:58
725403.6,4417762.4,2015-01-14 21:59:58
725439.3,4417550.3,2015-01-14 22:59:58
725101.7,4416279.8,2015-01-14 23:59:58
725098.6,4416426.4,2015-01-15 00:59:58
725377.7,4417746.2,2015-01-15 01:59:58
725406.7,4417824.5,2015-01-15 02:59:58
724891.8,4416888,2015-01-15 03:59:58
725109.9,4416197.5,2015-01-15 04:59:58
724906.7,4416910.7,2015-01-15 05:59:58
725442.6,4417725,2015-01-15 06:59:58
725449.1,4417717.2,2015-01-15 07:59:58
